county,county_fips,county_name,state
"Treutlen County, Georgia",13283,Treutlen County,Georgia
"Troup County, Georgia",13285,Troup County,Georgia
"Turner County, Georgia",13287,Turner County,Georgia
"Twiggs County, Georgia",13289,Twiggs County,Georgia
"Union County, Georgia",13291,Union County,Georgia
"Upson County, Georgia",13293,Upson County,Georgia
"Walker County, Georgia",13295,Walker County,Georgia
"Walton County, Georgia",13297,Walton County,Georgia
"Ware County, Georgia",13299,Ware County,Georgia
"Warren County, Georgia",13301,Warren County,Georgia
"Washington County, Georgia",13303,Washington County,Georgia
"Wayne County, Georgia",13305,Wayne County,Georgia
"Webster County, Georgia",13307,Webster County,Georgia
"Wheeler County, Georgia",13309,Wheeler County,Georgia
"White County, Georgia",13311,White County,Georgia
"Whitfield County, Georgia",13313,Whitfield County,Georgia
"Wilcox County, Georgia",13315,Wilcox County,Georgia
"Wilkes County, Georgia",13317,Wilkes County,Georgia
"Wilkinson County, Georgia",13319,Wilkinson County,Georgia
"Worth County, Georgia",13321,Worth County,Georgia
